Episode,Total Reward,Fruits Collected,Survival Time
969,-10.2,0,3
970,89.10000000000001,1,10
971,-10.7,0,8
972,-10.5,0,6
973,-10.0,0,1
974,89.30000000000001,1,8
975,-10.2,0,3
976,-10.8,0,9
977,-10.7,0,8
978,-10.7,0,8
979,-10.9,0,10
980,-10.6,0,7
981,-10.0,0,1
982,89.10000000000001,1,10
983,-10.1,0,2
984,-10.3,0,4
985,-10.1,0,2
986,89.60000000000002,1,5
987,-11.0,0,11
988,-10.8,0,9
989,-10.6,0,7
990,89.30000000000001,1,8
991,-10.3,0,4
992,-10.0,0,1
993,-10.2,0,3
994,-10.8,0,9
995,-10.8,0,9
996,-10.5,0,6
997,-10.4,0,5
998,-10.5,0,6
999,-10.1,0,2
1000,-10.6,0,7
1001,-10.3,0,4
1002,-10.0,0,1
1003,-10.6,0,7
1004,-10.2,0,3
1005,89.4,1,7
1006,-10.9,0,10
1007,-10.5,0,6
1008,-10.2,0,3
1009,189.10000000000002,2,10
1010,-10.6,0,7
1011,-10.9,0,10
1012,-10.7,0,8
1013,89.60000000000002,1,5
1014,-10.4,0,5
1015,-10.2,0,3
1016,-10.0,0,1
1017,-10.7,0,8
1018,-10.3,0,4
1019,-10.8,0,9
1020,189.20000000000005,2,9
1021,-10.8,0,9
1022,-10.4,0,5
1023,-10.1,0,2
1024,-10.5,0,6
1025,-10.5,0,6
1026,-10.5,0,6
1027,-10.0,0,1
1028,-10.9,0,10
1029,89.4,1,7
1030,-10.1,0,2
1031,89.30000000000003,1,8
1032,89.60000000000002,1,5
1033,89.10000000000002,1,10
1034,-10.0,0,1
1035,-10.6,0,7
1036,-10.2,0,3
1037,-10.1,0,2
1038,-10.2,0,3
1039,88.80000000000007,1,13
1040,-10.9,0,10
1041,-10.1,0,2
1042,-10.9,0,10
1043,-10.1,0,2
1044,89.5,1,6
1045,-10.2,0,3
1046,-10.7,0,8
1047,-10.6,0,7
1048,-10.1,0,2
1049,-10.7,0,8
1050,-10.4,0,5
1051,-10.4,0,5
1052,-10.6,0,7
1053,-10.1,0,2
1054,-10.0,0,1
1055,-10.8,0,9
1056,-10.6,0,7
1057,-10.2,0,3
1058,-10.7,0,8
1059,89.20000000000002,1,9
1060,-10.2,0,3
1061,-10.2,0,3
1062,-10.7,0,8
1063,-10.3,0,4
1064,-10.8,0,9
1065,-10.3,0,4
1066,189.20000000000005,2,9
1067,-10.9,0,10
1068,-10.8,0,9
1069,-10.5,0,6
1070,-10.8,0,9
1071,-10.1,0,2
1072,-10.5,0,6
1073,-10.1,0,2
1074,-10.5,0,6
1075,-10.2,0,3
1076,-10.5,0,6
1077,-10.1,0,2
1078,-10.6,0,7
1079,-10.5,0,6
1080,-10.9,0,10
1081,-10.2,0,3
1082,-10.4,0,5
1083,-10.3,0,4
1084,-10.0,0,1
1085,-10.3,0,4
1086,-10.1,0,2
1087,-10.8,0,9
1088,-10.4,0,5
1089,-10.0,0,1
1090,-10.3,0,4
1091,-10.6,0,7
1092,-10.1,0,2
1093,-10.3,0,4
1094,-10.6,0,7
1095,-10.1,0,2
1096,-10.2,0,3
1097,89.30000000000004,1,8
1098,-10.5,0,6
